Days,Datetime,Container,CPU %,MemUsage / Limit,Mem %, Block I/O
60,02/12/19-02:45:04,mongo,39.39%,3.458GiB / 7.696GiB,44.93%,14.4GB / 72.8GB
60,02/12/19-02:45:37,mongo,4.91%,3.456GiB / 7.696GiB,44.91%,14.5GB / 72.8GB
60,02/12/19-02:46:10,mongo,33.23%,3.453GiB / 7.696GiB,44.87%,15.3GB / 72.8GB
60,02/12/19-02:46:43,mongo,58.03%,3.447GiB / 7.696GiB,44.79%,15.6GB / 72.8GB
60,02/12/19-02:47:16,mongo,51.63%,3.446GiB / 7.696GiB,44.78%,15.7GB / 72.8GB
60,02/12/19-02:47:48,mongo,38.21%,3.44GiB / 7.696GiB,44.70%,15.8GB / 72.8GB
60,02/12/19-02:48:20,mongo,35.69%,3.439GiB / 7.696GiB,44.68%,15.8GB / 72.8GB
60,02/12/19-02:48:52,mongo,58.15%,3.437GiB / 7.696GiB,44.66%,15.9GB / 72.8GB
60,02/12/19-02:49:24,mongo,31.54%,3.433GiB / 7.696GiB,44.61%,15.9GB / 72.8GB
60,02/12/19-02:49:56,mongo,64.06%,3.429GiB / 7.696GiB,44.55%,16GB / 72.8GB
60,02/12/19-02:50:29,mongo,38.29%,3.427GiB / 7.696GiB,44.53%,16GB / 72.8GB
61,02/12/19-02:50:47,mongo,2.40%,3.426GiB / 7.696GiB,44.51%,16GB / 72.8GB
61,02/12/19-02:51:19,mongo,28.25%,3.459GiB / 7.696GiB,44.95%,16GB / 72.9GB
61,02/12/19-02:51:51,mongo,44.97%,3.46GiB / 7.696GiB,44.96%,16.5GB / 72.9GB
61,02/12/19-02:52:23,mongo,43.02%,3.456GiB / 7.696GiB,44.90%,16.7GB / 72.9GB
61,02/12/19-02:52:56,mongo,36.32%,3.451GiB / 7.696GiB,44.84%,16.8GB / 72.9GB
61,02/12/19-02:53:28,mongo,64.22%,3.442GiB / 7.696GiB,44.72%,16.8GB / 72.9GB
61,02/12/19-02:54:00,mongo,80.94%,3.444GiB / 7.696GiB,44.75%,16.9GB / 72.9GB
61,02/12/19-02:54:32,mongo,32.34%,3.441GiB / 7.696GiB,44.71%,16.9GB / 72.9GB
61,02/12/19-02:55:04,mongo,65.88%,3.438GiB / 7.696GiB,44.67%,17GB / 72.9GB
61,02/12/19-02:55:36,mongo,62.24%,3.439GiB / 7.696GiB,44.68%,17GB / 72.9GB
61,02/12/19-02:56:09,mongo,66.80%,3.436GiB / 7.696GiB,44.65%,17.1GB / 72.9GB
61,02/12/19-02:56:41,mongo,44.74%,3.434GiB / 7.696GiB,44.61%,17.1GB / 72.9GB
61,02/12/19-02:57:13,mongo,84.74%,3.432GiB / 7.696GiB,44.59%,17.1GB / 72.9GB
61,02/12/19-02:57:45,mongo,66.69%,3.429GiB / 7.696GiB,44.55%,17.2GB / 72.9GB
61,02/12/19-02:58:18,mongo,91.94%,3.425GiB / 7.696GiB,44.50%,17.2GB / 72.9GB
61,02/12/19-02:58:50,mongo,98.47%,3.425GiB / 7.696GiB,44.50%,17.2GB / 72.9GB
61,02/12/19-02:59:22,mongo,46.66%,3.421GiB / 7.696GiB,44.45%,17.3GB / 72.9GB
61,02/12/19-02:59:55,mongo,39.68%,3.42GiB / 7.696GiB,44.44%,17.3GB / 72.9GB
62,02/12/19-03:00:04,mongo,23.36%,3.42GiB / 7.696GiB,44.44%,17.3GB / 72.9GB
62,02/12/19-03:00:36,mongo,132.12%,3.484GiB / 7.696GiB,45.27%,17.3GB / 73GB
62,02/12/19-03:01:08,mongo,75.75%,3.483GiB / 7.696GiB,45.26%,17.7GB / 73.1GB
62,02/12/19-03:01:40,mongo,88.67%,3.476GiB / 7.696GiB,45.16%,17.8GB / 73.1GB
62,02/12/19-03:02:12,mongo,55.39%,3.472GiB / 7.696GiB,45.11%,17.9GB / 73.1GB
62,02/12/19-03:02:45,mongo,64.29%,3.469GiB / 7.696GiB,45.07%,17.9GB / 73.1GB
62,02/12/19-03:03:17,mongo,51.53%,3.467GiB / 7.696GiB,45.04%,18GB / 73.1GB
62,02/12/19-03:03:49,mongo,49.48%,3.461GiB / 7.696GiB,44.97%,18GB / 73.1GB
62,02/12/19-03:04:21,mongo,52.38%,3.457GiB / 7.696GiB,44.91%,18.1GB / 73.1GB
62,02/12/19-03:04:54,mongo,31.65%,3.452GiB / 7.696GiB,44.86%,18.2GB / 73.1GB
62,02/12/19-03:05:26,mongo,40.42%,3.449GiB / 7.696GiB,44.81%,18.2GB / 73.1GB
62,02/12/19-03:05:58,mongo,41.88%,3.445GiB / 7.696GiB,44.76%,18.2GB / 73.1GB
62,02/12/19-03:06:30,mongo,38.83%,3.44GiB / 7.696GiB,44.70%,18.3GB / 73.1GB
62,02/12/19-03:07:03,mongo,35.11%,3.438GiB / 7.696GiB,44.66%,18.3GB / 73.1GB
62,02/12/19-03:07:35,mongo,33.05%,3.433GiB / 7.696GiB,44.61%,18.3GB / 73.1GB
62,02/12/19-03:08:07,mongo,42.71%,3.437GiB / 7.696GiB,44.66%,18.4GB / 73.1GB
62,02/12/19-03:08:39,mongo,36.09%,3.433GiB / 7.696GiB,44.60%,18.4GB / 73.1GB
62,02/12/19-03:09:11,mongo,65.92%,3.43GiB / 7.696GiB,44.57%,18.4GB / 73.1GB
63,02/12/19-03:09:16,mongo,20.03%,3.431GiB / 7.696GiB,44.57%,18.4GB / 73.1GB
63,02/12/19-03:09:48,mongo,98.24%,3.475GiB / 7.696GiB,45.15%,18.4GB / 73.2GB
63,02/12/19-03:10:21,mongo,70.00%,3.484GiB / 7.696GiB,45.27%,18.8GB / 73.3GB
63,02/12/19-03:10:53,mongo,100.28%,3.479GiB / 7.696GiB,45.21%,19.5GB / 73.3GB
63,02/12/19-03:11:26,mongo,27.41%,3.477GiB / 7.696GiB,45.18%,19.5GB / 73.3GB
63,02/12/19-03:11:58,mongo,27.54%,3.473GiB / 7.696GiB,45.12%,19.7GB / 73.3GB
63,02/12/19-03:12:30,mongo,42.60%,3.47GiB / 7.696GiB,45.09%,19.7GB / 73.3GB
63,02/12/19-03:13:03,mongo,28.18%,3.467GiB / 7.696GiB,45.05%,19.8GB / 73.3GB
63,02/12/19-03:13:35,mongo,90.42%,3.461GiB / 7.696GiB,44.97%,19.8GB / 73.3GB
63,02/12/19-03:14:07,mongo,41.20%,3.463GiB / 7.696GiB,44.99%,19.8GB / 73.3GB
63,02/12/19-03:14:39,mongo,86.08%,3.458GiB / 7.696GiB,44.93%,19.9GB / 73.3GB
63,02/12/19-03:15:11,mongo,54.31%,3.453GiB / 7.696GiB,44.87%,19.9GB / 73.3GB
63,02/12/19-03:15:43,mongo,60.61%,3.45GiB / 7.696GiB,44.83%,20GB / 73.3GB
63,02/12/19-03:16:16,mongo,35.80%,3.447GiB / 7.696GiB,44.79%,20GB / 73.3GB
63,02/12/19-03:16:48,mongo,41.30%,3.444GiB / 7.696GiB,44.75%,20GB / 73.3GB
63,02/12/19-03:17:20,mongo,60.87%,3.442GiB / 7.696GiB,44.72%,20.1GB / 73.3GB
63,02/12/19-03:17:53,mongo,44.60%,3.437GiB / 7.696GiB,44.66%,20.1GB / 73.3GB
63,02/12/19-03:18:25,mongo,60.61%,3.436GiB / 7.696GiB,44.64%,20.1GB / 73.3GB
64,02/12/19-03:18:48,mongo,17.51%,3.434GiB / 7.696GiB,44.61%,20.2GB / 73.3GB
64,02/12/19-03:19:21,mongo,36.59%,3.484GiB / 7.696GiB,45.27%,20.2GB / 73.5GB
64,02/12/19-03:19:53,mongo,73.33%,3.484GiB / 7.696GiB,45.27%,20.2GB / 73.5GB
64,02/12/19-03:20:25,mongo,52.36%,3.484GiB / 7.696GiB,45.26%,20.6GB / 73.6GB
64,02/12/19-03:20:58,mongo,64.08%,3.479GiB / 7.696GiB,45.20%,20.7GB / 73.6GB
64,02/12/19-03:21:30,mongo,66.49%,3.474GiB / 7.696GiB,45.14%,20.7GB / 73.6GB
64,02/12/19-03:22:02,mongo,63.52%,3.47GiB / 7.696GiB,45.08%,20.8GB / 73.6GB
64,02/12/19-03:22:35,mongo,65.34%,3.463GiB / 7.696GiB,45.00%,20.9GB / 73.6GB
64,02/12/19-03:23:07,mongo,35.05%,3.457GiB / 7.696GiB,44.92%,20.9GB / 73.6GB
64,02/12/19-03:23:39,mongo,63.69%,3.456GiB / 7.696GiB,44.90%,20.9GB / 73.6GB
64,02/12/19-03:24:12,mongo,42.01%,3.453GiB / 7.696GiB,44.87%,21GB / 73.6GB
64,02/12/19-03:24:44,mongo,36.03%,3.45GiB / 7.696GiB,44.82%,21GB / 73.6GB
64,02/12/19-03:25:16,mongo,76.25%,3.444GiB / 7.696GiB,44.74%,21.1GB / 73.6GB
64,02/12/19-03:25:48,mongo,88.54%,3.443GiB / 7.696GiB,44.74%,21.1GB / 73.6GB
64,02/12/19-03:26:20,mongo,57.60%,3.438GiB / 7.696GiB,44.67%,21.1GB / 73.6GB
64,02/12/19-03:26:53,mongo,43.96%,3.435GiB / 7.696GiB,44.63%,21.2GB / 73.6GB
64,02/12/19-03:27:25,mongo,45.94%,3.429GiB / 7.696GiB,44.56%,21.2GB / 73.6GB
64,02/12/19-03:27:57,mongo,37.34%,3.431GiB / 7.696GiB,44.57%,21.3GB / 73.6GB
65,02/12/19-03:28:29,mongo,19.30%,3.429GiB / 7.696GiB,44.56%,21.3GB / 73.6GB
65,02/12/19-03:29:01,mongo,24.51%,3.485GiB / 7.696GiB,45.28%,21.3GB / 73.7GB
